sNo,epsiodeNumber,episodeName,quote
131,NA,NA,"Chandler: You know, I'm really glad we decided not to sleep together before the wedding.

Monica: Me too.

Chandler: You know, I was, uh, thinking. If you and I had a big fight and broke up for a few hours...

Monica: Yeah?

Chandler: Technically we could have sex again. So, what do you think... bossy and domineering?

Monica: The wedding's off, sloppy and immature.

[they get up]

Monica: Oh, wait. We can't, my cousin Cassie is in the guest room.

Chandler: Well, get rid of her, obsessive and shrill.

Monica: Shrill? The wedding's back on.

"
132,NA,NA,"Chandler: All right. You guys don't have to stop having fun just 'cause I'm here. You don't have to feel bad, either. Kathy didn't cheat on all of you...

[to Joey]

Chandler: Well, except you.

"
133,NA,NA,"Joey: Heh. Let me get this straight. He got you to *beg* to sleep with him. He got you to say he *never* has to call you again. And he got you thinking this is a *great* idea?

Phoebe: [weakly] Uh-huh.

Joey: This man is my God!

"
134,NA,NA,"Rachel: Hey Ben, you know what? When you were a baby, you and I used to do all sorts of stuff together, coz I was your daddy's girlfriend.

Ben: But you're not anymore.

Rachel: No, no we're not.

Ben: Coz you and dad were on a break.

"
135,NA,NA,"Rachel: Hey, just so you know: it's *not* that common, it *doesn't* ""happen to every guy, "" and it *is* a big deal!

Chandler: [pointing] I *knew* it!

"
136,NA,NA,"[Joey and Chandler apartment has been robbed]

Joey: Aw, man. He took the five of spades.

[looks through deck]

Joey: No, here it is.

"
137,NA,NA,"Joey: Pheebs, you wanna help?

Phoebe: Oh, I wish I could, but I don't want to.

"
138,NA,NA,"Gunther: Hey buddy, this is a family place. Put the mouse back in the house.

"
139,NA,NA,"Phoebe: Well, I'm a pacifist. But, when the revolution comes, I'll destroy all of you.

[pause]

Phoebe: Except for you, Joey.

"
140,NA,NA,"Rachel: You didn't finish reading it?

Ross: It was 5:30 in the morning, and you had rambled on for eighteen pages - front and back!

"
141,NA,NA,"[Chandler enters with a terrible hang-over]

Monica: How ya doin'?

Chandler: Well, my apartment's not there anymore because I drank it.

"
142,NA,NA,"Chandler: All right, look if you absolutely have to tell her the truth, at least wait until the timing's right. And that's what deathbeds are for.

"
143,NA,NA,"Susie: How come all I can think about is putting that ice in my mouth and licking you all over?

Chandler: Because I went to an all-boys high school and God is making up for it.

"
144,NA,NA,"Phoebe: Today is Mike and my one year anniversary.

Rachel: Oh! What's it the anniversary of? Your first date? Your first kiss? The first time you had sex?

Phoebe: Yeah!

"
145,NA,NA,"Ross: I would date her but there is a big age difference.

Joey: Well think about it when you're 90...

Ross: I know, she'll be 80 and it won't be such a big difference.

Joey: No. What I was gonna say is when you're 90 you'll still have the memory of what it was like to be with a 20-year-old.

"
146,NA,NA,"[to Ross]

Chandler: You know if your not careful, you could not get married at all this year.

"
147,NA,NA,"Ross: [holding a bottle of champagne] Gunther, six glasses!

Gunther: [hopeful] Six? You want me to join you?

Ross: Oh, I thought Joey was here. Five will be fine.

[Gunther walks away disappointed]

Ross: Boy I'm gonna get spit in my coffee, now.

"
148,NA,NA,"Rachel: [walking out of the bathroom] Mon, I'm gonna to check my messages.

Chandler: And you thought of that in there?

Monica: Well, nature called and she wanted to see who else did.

"
149,NA,NA,"Ross: Hey, Pheebs, you gonna have the rest of that Pop-Tart? Pheebs?

Phoebe: Does anyone want the rest of this Pop-Tart?

Ross: Hey, I might.

"
150,NA,NA,"Phoebe: I remember the day I got my first paycheck. There was a cave-in in one of the mines, and eight people were killed.

Monica: Wow, you - you worked in a mine?

Phoebe: No, I worked in a Dairy Queen. Why?

"
151,NA,NA,"Rachel: Ok, Joey, we'll do it one more time. Don't forget the rules -heads I win, tails you lose.

Joey: Just flip the coin!

"
152,NA,NA,"Rachel: [upset] All right, well, if you must know... I had a traumatic... swing incident... when I was little.

Ross: Seriously?

Rachel: Yes, I was 4 years-old and I was on the swing and then all of a sudden my hair got tangled in the chain. And to get me out my mom had to - had to cut a big chunk of my hair.

[she starts crying]

Rachel: And it was uneven for weeks.

Ross: [sarcastically] And you made it through that? I wonder who's gonna play you in the movie.

Rachel: Ok, fine. You can make fun of me. I do not want Emma going there.

[pause]

Rachel: And I was thinking Claire Danes.

"
153,NA,NA,"Joey: [during Ross's speech, Joey laughs every time he hears 'homo erectus'] Ha, Ha, he said 'erectus'.

[notices Rachel is also laughing]

Joey: Erectus?

Rachel: [stifling laugh] No, 'homo'.

"
154,NA,NA,"Monica: Okay, I've got a leg, three breasts, and a wing.

Chandler: How do you find clothes that fit?

"
155,NA,NA,"Monica: This has been like my dream ever since I got my first Easy-Bake Oven and opened ""Easy Monica's Bakery"".

"
156,NA,NA,"[talking about Ralph Lauren]

Joey: I hate his underwear. one time I brought a pair marked XS and let me tell you there's no room for anything excess in there.

"
157,NA,NA,"Monica: Pack your things, we're going to Vegas.

Chandler: You mean, we're just gonna elope? This is great. We're gonna save so much money. And, no more pain-in-the-ass planning.

[Monicas stares at him]

Chandler: Oh, we're not going to elope. We have so much money, could our wedding please be bigger?

"
158,NA,NA,"[after Joey told Rachel he loved her, she told him her boss wanted to buy her baby in order to make things less awkward]

Rachel: Joey, I'm really sorry that I lied to you. I was just trying to make things...

Joey: I know. I know.

Rachel: It kinda worked. I mean you know, I don't know about you but I haven't thought about our thing since all this.

Joey: Hey you're right. Yeah, it's kinda been like us again a little bit.

Rachel: Yeah I know. I miss that.

Joey: Me too. I mean I... haven't thought at all about how I put myself out there and said all that stuff and how you didn't feel the same way about me and-and how it was really awkward.

[long, awkward pause]

Rachel: My gynecologist tried to kill me.

"
159,NA,NA,"[Looking through the ads in a newspaper]

Monica: There are no jobs for me.

Joey: Wait, here's one. Um, would you be willing to cook naked?

Monica: There's an ad for a naked chef?

Joey: No. But if you'd be willing to COOK naked, you might be willing to DANCE naked.

"
160,NA,NA,"Joey: Dude, stop talkin' crazy and make us some tea!

"
161,NA,NA,"Chandler: [Monica thinks their maid stole her pants and bra] Monica, come on do you really think that she would steal from us, then come back and wear it right in front of you?

Monica: Don't you see? It's the PERFECT crime!

Chandler: [acting as outraged as her] She must have been planning this for years!

"
162,NA,NA,"Joey Tribbiani: You don't put words in people's mouths, you put *turkey* in people's mouths!

"
163,NA,NA,"Monica: Chandler, you're panicking!

Chandler: Uh huh! Join me, won't you?

"
164,NA,NA,"Phoebe: Oh, look. Ugly Naked Guy is decorating his Christmas tree. Wow, you should see the size of his Christmas balls.

"
165,NA,NA,"Ross: [receiving his Christmas gift] You got me a cola drink.

Chandler: And a LEMON LIME.

Ross: You shouldn't have. I feel like I should get you another sweater.

Joey: And last but not least.

[Monica receives her gift]

Joey: They're RIBBED FOR YOUR PLEASURE.

"
166,NA,NA,"Monica: [about Chandler's mother's new boyfriend] So, how did you two meet?

Nora Bing: Well, actually, it's a funny story...

Chandler: Funny, ""ha ha""? Or, funny-

[makes a gun with his hand and pretends to blow his brains out]

"
167,NA,NA,"Phoebe: Charlotte? You know, with the web? She has babies, then she dies. It's like, ""Hey, mom, welcome home from the hospital."" THUD.

"
168,NA,NA,"Rachel: I've never asked a guy out before.

Phoebe: You've never asked a guy out?

Rachel: No. Have you?

Phoebe: Thousands of times. That doesn't make me sound too good, does it?

"
169,NA,NA,"Chandler: Hey, you guys in the living room all know what you want to do. You know, you have goals. You have dreams. I don't have a dream.

Ross: Ah, the lesser known ""I Don't Have a Dream"" speech.

"
170,NA,NA,"[Chandler and Joey emerge from the bathroom after hiding from a fight between Ross and Monica]

Chandler: That was pretty intense, huh?

Joey: Yeah. Hey, I hope Ross didn't think that we just went in there because we were uncomfortable being out here.

Chandler: I hope he did.

"
171,NA,NA,"Ross: [to his parents] Look, I, uh- I realize you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.

"
172,NA,NA,"[Rachel is trying to stall Monica from getting ready]

Rachel: I'll just become a lesbian

Monica: Any woman would be lucky to have you

"
173,NA,NA,"Monica: Did you just smell my hair?

Pete: No.

Monica: Oh my God, you still have feelings for me, don't you?

Pete: No I don't.

Monica: None at all?

Pete: Okay I love you, is that so wrong?

"
174,NA,NA,"Phoebe: A person's wedding is important. And especially to me. OK? I didn't have a graduation party. And I didn't go to Prom. And I spent my sweet sixteen being chased round a tyre yard by an escaped mental patient who in his own words wanted to ""kill me, or whatever."" So I deserve a real celebration and I am not gonna let some sweaty little man make me feel badly about it.

"
175,NA,NA,"Monica: I'll never have a first kiss again.

Phoebe: You'll have a last kiss.

"
176,NA,NA,"Joey: [after talking about Chandler being picky with girls] Chandler, I understand you. I mean, this one time, I went out with this girl, she had the biggest Adam's apple!

"
177,NA,NA,"Frank Buffay Jr.: My sister's having my baby.

"
178,NA,NA,"Ross: Wow, Joey, that's a steamy picture.

Joey: Yeah, I know. The magazine said it was for my gay fans.

[winks at Ross]

Ross: Why'd you wink at me?

Joey: Don't look at me. You're the one who like the picture so much.

"
179,NA,NA,"Reporter: I like that. what's your name?

[pointing tape recorder at Pheobe]

Phoebe: Pheobe. That's, P, as in Phoebe, H, as in heobe, O as in oebe, E, as in ebe, B, as in bebe, and E as in... Ello there mate.

"
180,NA,NA,"Chandler: ...And I'm not sure about this actor guy, because when he left a message and he heard my name ""Chandler Bing"", he said ""Woah! Short message!""

"
181,NA,NA,"[after observing a short fight between Rachel and Ross]

Phoebe: That's it? ""We were on a break."" ""No we weren't."" What happened to you two?

"
182,NA,NA,"Joey: Oh, yeah. Go for it man, jump off the high dive, stare down the barrel of the gun, pee into the wind.

Chandler: Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way.

"
183,NA,NA,"Joey: She's so great. She kisses like my mom cooks.

Monica: I am so glad you said ""cooks"".

"
184,NA,NA,"[Everyone is eating dinner at a fancy restaurant. Joey, Phoebe, and Rachel don't want to order something expensive because they can't afford it]

Rachel: I will have the uh,

[whispers]

Rachel: side salad.

Waiter: [whispers] And what will that be on the side of?

Rachel: Uh, I don't know. Why don't you put it right here next to my water?

"
185,NA,NA,"Chandler: Ding dong, the psycho's gone.

"
186,NA,NA,"Joey: Ross, have you ever been beaten up before?

Ross: Yeah, sure.

Joey: By someone besides Monica?

"
187,NA,NA,"Benjamin Hobart: If you say yes, I'm serious, if you say no, I'm joking.

"
188,NA,NA,"Rachel: [looking sad after finding out Joey's girlfriend, Kristin was just a loner, not looking for a serious relationship, when Rachel and Phoebe wanted their realtionship to work] Well, I guess it wasn't Cupid that brought her here after all.

Phoebe: No, just another regular flying dwarf.

"
189,NA,NA,"Janice: It's a small world after all.

Chandler: Yeah. And I still don't get bumped into Beyonce!

"
190,NA,NA,"Phoebe: [sings] Smelly cat, smelly cat, what are they feeding you? / Smelly cat, smelly cat, it's not your fault!

"
191,NA,NA,"Phoebe: [singing] Jingle bitch screwed me over. Go to hell jingle whore. Go to hell, go to hell, go to hell.

"
192,NA,NA,"[Monica and Richard are about to tell Monica's parents about their relationship]

Monica: Can't we tell your parents first?

Richard: They're both dead.

Monica: Oh, you are *so* lucky.

"
193,NA,NA,"Ross: [clinks wine glass] Uhh, excuse me. If I could have everybody's attention. I'm Ross Geller.

Jack Geller: DR. Ross Geller.

Ross: Dad... Please. Anyway, as I was saying, I'm Dr. Ross Geller...

"
194,NA,NA,"Ross: I think it'll be a boy.

Phoebe: I think it'll be a girl.

Ross: Phoebe, you thought Ben would be a girl.

Phoebe: Have you seen him throw a ball?

"
195,NA,NA,"Kate Miller: [they are doing a scene] I have a question about this scene.

The Director: Yes?

Kate Miller: Well, I don't understand why Adrienne's attracted to Victor.

[Joey plays Victor, she plays Adrienne]

The Director: Peel the onion. First of all, he's good-looking.

Joey: Yeah.

Kate Miller: I think my character's gonna need a little bit more of a reason than that.

Joey: Oh, hey, how about this one? It says so in the script! Y'know, I don't know why my character likes you either, I mean, it says in the script here that you're a bitch.

Kate Miller: It does not say that in the script.

Joey: It does in mine!

"
196,NA,NA,"Chandler: Can you see my nipples through this shirt?

Rachel: No, but don't worry. I'm sure they're still there.

"
197,NA,NA,"Chandler: Hey, you know, I have had it with you guys and your ""cancer"" and your ""emphysema"" and your ""heart disease."" The bottom line is smoking is cool and you know it.

"
198,NA,NA,"[When asked if he knows anything about chicks]

Chandler: Fowl? No. Women?... No.

"
199,NA,NA,"[Referring to Janice]

Chandler: How can I dump this woman on Valentine's Day?

Joey: I don't know. You dumped her on New Year's.

Chandler: Oh man. In my next life I'm comin' back as a toilet brush.

[Janice enters Central Perk]

Janice: [to Chandler] Hello Funny Valentine.

Chandler: Hello, Just Janice.

"
200,NA,NA,"[Chandler's drunk from having jello shots]

Monica: Stick out your tongue.

Chandler: Take off your shirt.

"
201,NA,NA,"Rachel: How do we end up with these jerks? We're good people.

Monica: Maybe we're like some kind of magnets.

Phoebe: I know I am. That's why I can't wear a digital watch.

Monica: There's more beer right?

"
202,NA,NA,"Joey: Hey Mon, I got a question for you.

Monica: Okay, for the bizillionth time, yes I see other women in the shower at the gym, and no I don't look.

"
203,NA,NA,"Phoebe: There was a crooked man, who had a crooked smile, who lived in a shoe, for a... while...

"
204,NA,NA,"Rachel: Ooh, I'm a man. Ooh, I have a penis. Ooh, I have to win money to exert my power over women.

"
205,NA,NA,"Rachel: I mean, is that woman capable of talking about anything else but sex?

Joey: Yeah sure. Well, you know earlier she was talking about geography.

Monica: Joey, she was listing the countries she's done it in.

Joey: Well, I think we all learned something.

"
206,NA,NA,"Chandler: Goodbye, you fruit drying psychopath.

"
207,NA,NA,"Ross: Oh, I gotta go, kids... I got Lamaze class.

Chandler: Oh! And I got Earth Science but I'll catch you in gym?

"
208,NA,NA,"Rachel: Didn't the chick and the duck di...

Phoebe: -ve, dive. Yeah, they dove. Head first into fun on the farm.

"
209,NA,NA,"Monica: What about friends of your grandmother's? Wouldn't they have the recipe?

Phoebe: Well, you know I may have relatives in France who would know. My grandmother said she got the recipe from her grandmother,

[trying to pronounce her name in French]

Phoebe: Nestl̩ Toulouse.

Monica: What was her name?

Phoebe: [again trying to pronounce it in French] Nestl̩ Toulehouse.

Monica: Nestle Toll House?

Phoebe: Oh, you Americans always butcher the French language.

"
210,NA,NA,"Joey: Joey doesn't share food!

"
211,NA,NA,"Ross: I figured after work, I'd pick up a bottle of wine, go over there, and try to... woo her.

Chandler: Hey, you know what you should do? Take her back to the 1800's when that phrase was last used.

"
212,NA,NA,"Phoebe: Come on Ross, you're a paleontologist, dig a little deeper.

"
213,NA,NA,"[Jack knows that Richard is dating a younger woman, but doesn't know that it's actually Monica]

Jack Geller: Come on, tell us.

Jack's friend: Yeah. Is she really 20?

Richard: I'm not telling you guys anything.

Jack Geller: Come on, Rich. It's my birthday, let me live vicariously.

Ross: Dad, you really don't want to do that.

Jack Geller: Ahh, what's a little mid-life crisis between friends?

Richard: Jack, would you let it go?

Jack Geller: Look, I know what you're going through. When I turned 50 I got my Porsche. You... you got your own speedster.

Richard: Guys, seriously, it's not like that.

Jack Geller: Tell you what, maybe one of these weekends you can borrow the car and I could...

Ross: Dad, I beg you not to finish that sentence.

"
214,NA,NA,"[pounding a scone]

Ross: Stupid British snack food.

Chandler: Did they teach you that in your anger management class?

"
215,NA,NA,"Chandler: I'm thinking of having an affair with your wife! Oh, you know what, I just did!

Joey: Really?

Chandler: No, freak show! She's fictional!

"
216,NA,NA,"Monica: Chandler, it's okay. You don't have to be so macho all the time.

Chandler: I'm not macho.

Monica: You're right. I don't know what I was thinking.

"
217,NA,NA,"Ross: My dad wanted to know if you wanted to play racquetball with us.

Monica: Wow. That's great. Dad must really like you, he doesn't ask just anyone to play.

Ross: Yeah and he didn't really ask for you, he asked for Chancy, I assumed he meant you.

Chandler: Well, did-did you correct him?

Ross: No, I-I thought it would be more fun this way.

"
218,NA,NA,"Eddie: [Chandler just asked him to move out] This is kinda out of the blue, isn't it?

Chandler: No, no, no. This isn't out of the blue. This is smack dab in the middle of the blue.

"
219,NA,NA,"Joey: What? You made a bet. A bet is a bet. You bet on a bet, and if you lose you lose the bet.

"
220,NA,NA,"Chandler: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it. I don't think that was my point.

"
221,NA,NA,"[Chandler's trying to quit smoking]

Chandler: Eww, Lambchop. How old is that sock? If I had a sock in my hand for thirty years it'd be talking too.

Ross: Okay, I think it's time to change someone's nicotine patch.

[does so]

Chandler: [deadpan] Ooh, I'm alive with pleasure now.

"
222,NA,NA,"Chandler: I got a job in advertising. Well, not a paying job. More of an internship. But, they hire people they like.

Joey: Yeah, we got interns on ""Days of Our Lives"".

Chandler: Yeah, it's the same thing... except, less sex with you.

"
223,NA,NA,"Joey: Hey, you know, you could always visit him.

Phoebe: Oh, right, like they're going to let me have a passport?

"
224,NA,NA,"Chandler: [taking duck out in the hallway] Now you stay out here and you think about what you did.

Ross: That's a duck.

Chandler: That's a bad duck.

"
225,NA,NA,"Chandler: Stay... stay. Good fake dog.

"
226,NA,NA,"[about Ross being in love with Rachel]

Phoebe: This is big. No this is huge. No this is like really really... all right what's bigger than huge?

Joey: Uh, this?

Phoebe: Yeah.

"
227,NA,NA,"[At a soap opera awards show, Joey accepted an award on an absent actress' behalf]

Rachel: Joey, you can't steal an award.

Joey: I'm not stealing it. I'm accepting it on her behalf.

Rachel: You don't even know what behalf means.

Joey: I know what it means. It's a verb. As in, I behalfing it.

"
228,NA,NA,"[Monica and Chandler come back from London]

Phoebe: Oh, my god. You had sex.

Monica: No, we didn't.

Phoebe: [to Chandler] I know YOU didn't, I'm saying she did.

"
229,NA,NA,"Phoebe: What happens to the old Christmas trees?

Joey: They go into the chipper.

Phoebe: Why do I get the feeling that's not as happy as it sounds?

"
230,NA,NA,"Monica: I can't believe my dad saw us having sex. He didn't make it to one of my piano recitals, but this he sees.

"
231,NA,NA,"[Ross's hand is in a cast and he is struggling to write something down]

Joey: Hey, do you need any help?

Ross: Why, does it look like I'm having trouble with my mis-shapened claw?

"
232,NA,NA,"Rachel: [upon receiving her first paycheck] Who's FICA? Why is he getting all my money?

"
233,NA,NA,"[Joey has to keep everyone in his apartment]

Judy Geller: Well, we'll get going.

Jack Geller: Bye.

[both leave]

Monica: Hey. How come they get to leave?

Joey: Hey, Jack is a great man. He fought for our country.

Monica: No, he didn't. He pretended to be a Quaker to get out of Korea.

"
234,NA,NA,"Phoebe: Sting's pen...

[as she puts it in her purse]

Phoebe: ... that he gave to Phoebe.

"
235,NA,NA,"[Ross is about to tell Rachel that he loves her before she leaves for Paris, but Gunther walks up to her first]

Gunther: I... I know you're leaving tonight, but I just have to tell you. I love you. I... I don't know if that changes your plans at all, but I thought you should know.

Rachel: Gunther... Oh... I love you too. Probably not in the same way, but I do. And, and when I'm in a caf̩, having coffee, or I see a man with hair brighter than the sun, I'll think of you. Aw.

[kisses him on the cheek]

"
236,NA,NA,"Monica: [Monica has refused to go out with Chandler] Darn it! There's no more soda.

Chandler: I'll go get some.

Monica: Really?

Chandler: Well, I would,

[shouts]

Chandler: but I'm not your boyfriend!

"
237,NA,NA,"Ross: Wow, you guys sure have a lot of books about being a lesbian.

Susan: Well, you know, you have to take a course. Otherwise they don't let you do it.

"
238,NA,NA,"Joey: [to Ross] Forget about Rachel. Go to China, eat Chinese food.

Chandler: Of course there they'd just call it food.

"
239,NA,NA,"Rachel: Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.

Joey: [pause] ... Are we still talking about sex?

"
240,NA,NA,"Joey Tribbiani: [upon hearing Ross doesn't want to go to the movies with him] Come on, man! Tom Hanks! Meg Ryan! They get mail!

"
241,NA,NA,"Rachel: You don't just flit off to Vermont as soon as you meet someone.

Monica: You flitted off to Vail as soon as you met Barry.

Rachel: For once, could you not just remember every little thing?

"
242,NA,NA,"Ross: So, uh, what did the insurance company say?

Chandler: Oh, they said uh, ""You don't have insurance here so stop calling us.""

"
243,NA,NA,"Joey: Hey, I got something for you.

Chandler: What's this?

Joey: Eight hundred and twelve bucks.

Chandler: Well, I don't know what Big Leon told you but it's an even thousand if you want me for the whole night.

"
244,NA,NA,"Rachel: You don't want to try things too fast. You know what happened to the girl who tried things too fast?

Jill Green: No. What?

Rachel: Well... she died.

"
245,NA,NA,"Joey: It's just my character that's not brain-dead.

"
246,NA,NA,"Rachel: Are you sure that on some level you don't want to take off my bra?

Joey: I don't have another level!

"
247,NA,NA,"[talking about engagement presents for Monica and Chandler]

Rachel: Oh, y'know what you should get 'em? One of those little uh, portable CD players.

Monica: Oh, I already have one.

Phoebe: Not unless someone borrowed it and left it at the gynecologist.

Rachel: Yeah, and-and-and by someone, she means Joey.

"
248,NA,NA,"Monica: [about the erogenous zones] Now, most guys will hit uh, 1-2-3 and then go to 7 and set up camp.

Chandler: That-that's bad?

Rachel: Well if you go to Disneyland, you don't spend the whole day on the Materhorn.

Chandler: Well you might if it were anything like 7.

"
249,NA,NA,"Phoebe: I think the most romantic song is the one that Elton John wrote for that guy from ""who's the Boss?""

Monica: Which one was that?

Phoebe: You know, uh, ""Hold me closer, Tony Danza... "".

"
250,NA,NA,"Jill Green: All right, I'm leaving. Because I'm not going to spend one more day with someone whose out to sabotage my every move. That's you Rachel.

Rachel: Yeah, I got that.

"
251,NA,NA,"Phoebe: My mom used to stick her head in the oven. Actually she only did it the once, but it was pretty weird.

"
252,NA,NA,"Chandler: Now, honey, I know you don't like to relinquish control...

Monica: Oh! Relinquish is just a fancy word for ""lose""!

"
253,NA,NA,"[Phoebe thinks Joey has a crush on her]

Phoebe: Look, Joey, I know about your feelings.

Joey: Oh, you do?

Phoebe: Yeah, and I don't think it could happen.

Joey: I know. I mean it's not just my friend Rachel, it's my pregnant with Ross's child friend Rachel.

Phoebe: Uhh... Yeah, Rachel, I mean you two are friends.

[under her breath]

Phoebe: Kick me in the stomach why don't you.

Joey: What?

Phoebe: Nothing. You know, maybe it's just a crush, it doesn't mean you love her.

Joey: You think?

Phoebe: Yeah. I mean I've had them for you guys... except for Ross and Chandler. I'm sure you had them for us before, right?

Joey: No, not really.

Phoebe: [under her breath] Throw me a friggin' bone here, will ya?

"
254,NA,NA,"Joey: They want me to do frontal nudity. I can't do that. My grandmother's gonna see that movie.

Phoebe: Well, grandma's gonna have to get in line.

[winks at Joey]

"
255,NA,NA,"Ross: [on Monica's phone] Yeah, Tony, hold on.

[gets second line]

Ross: Hello? Yeah, she's right here. Hold on.

[returns to second line]

Ross: Yeah, Tony I'll call you back. It's my sister's boyfriend.

[switches back to second line]

Monica: Give me that.

[into phone]

Monica: Hi sweetie. Before I forget, did I leave my diaphragm at your house?

[pause]

Monica: Oh, hi mom.

[starts throwing things at Ross]

"
256,NA,NA,"Monica: So you wanna?

Chandler: OK.

[pauses]

Chandler: I can't.

Monica: [Snaps] Well you're not 18 anymore, but give it a minute.

Chandler: I can't because of Emma.

Monica: Oh, Emma, Sweetie, I forgot you were here.

"
257,NA,NA,"Joey: Well, I'm sorry if I'm not a middle-aged black woman. And I'm also sorry if sometimes I go to the wrong audition.

"
258,NA,NA,"Joey: Is Phoebe here with the cab yet?

Chandler: Yeah, she brought the invisible cab. Jump in.

"
259,NA,NA,"Richard: [about Chandler & Joey] They're different from my other friends, they don't start sentences with ""you know who just died shoveling snow?""

"
260,NA,NA,"Rachel: How do you expect me to grow if you won't let me blow?

"
261,NA,NA,"Rachel: You gotta come with me!

Phoebe: Come where?

Rachel: Wherever I go! Come on! You and me. We'll... we'll start a new group! We're the best ones!

Phoebe: Okay, but try and get Joey, too.

"
262,NA,NA,"[Joey is making marinara sauce and filling every container possible with it. Chandler enters]

Chandler: Whoa, whoa, so I'm guessing you didn't get the part... or Italy called and said it was hungry.

"
263,NA,NA,"Chandler: What are you guys like a gang or something?

[Joey whispers to Rachel]

Joey: Yeah, we are.

[Rachel whispers to Joey]

Rachel: We're the Cobras.

"
264,NA,NA,"Joey: Do you practice losing at the Grammys too?

Rachel: No, at the Grammys, I always win.

"
265,NA,NA,"Janice: Chandler Bing.

"
266,NA,NA,"Monica: [talking about the stock market] My motto is, get out before they go down.

Joey: That is so not my motto.

"
267,NA,NA,"Joey: How come we don't have jam at our place?

Chandler: Because the kids need shoes.

"
268,NA,NA,"Joey: I'm a Tribianni! And this is what we do! We may not be great thinkers, or great leaders, we may not be able to run very fast but God Dammit we can eat!

"
269,NA,NA,"Monica: Come on, I see you looking at other women's breasts all the time!

Chandler: You see that?

Monica: Do you see this?

[opens her mouth and stares]

Monica: Duhhhhhh?

"
270,NA,NA,"[Upon learning he must move far away and commute to work]

Ross: Why, it's like I've been given the gift of time.

Chandler: That's great. Last year I got the gift of space. We should get together and make a continuum.

"
271,NA,NA,"Monica: [to everybody] We have to talk.

Phoebe: Oh, I'm getting a deja-vous. All right no I'm not.

Monica: All right, we have to talk.

Phoebe: There it is.

"
272,NA,NA,"[Ross looking at Monica's legs]

Ross: Wow.

Chandler: Hey stop staring at my wife's legs. No, no, stop staring at your sister's legs

"
273,NA,NA,"Monica: I am so jealous.

Rachel: You guys are really just right there.Aren't you?

Chandler: Yes... Right where?

Monica: The beginning, where it's all sex and talking and sex and talking...

Chandler: Yeah you gotta love the talking.

Monica: And the sex?

Chandler: Alright we hadn't have sex yet. Okay. What's the big deal?This is special. I want our love to grow before moving to the next level.

Rachel: Oh, chandler, that is so nice.

Ross: That is really nice... Lying! No way is that the reason.

Rachel: Why? Just because you're not mature enough to understand something like that?

Chandler: He's right. I'm totally lying.

Monica: Then what is it?

Chandler: Kathy's last boyfriend was Joey.

Ross: And you're afraid you won't be able to fill his shoes?

Chandler: No. I'm afraid I won't be able to make love as well as him.

Ross: I was going for the metaphor.

Chandler: Yes and I was saying the actual words.

Monica: Big deal. So Joey has had a lot of girlfriends. That doesn't mean he's great in bed.

Chandler: We share a wall. So either is great in bed, or she just liked to agree with him a lot.

Monica: With you it's gonna be different. The sex is gonna be great because you guys are in love.

Chandler: Yeah?

Ross: Just go for it Chandler.

Monica, Rachel: Yeah you should.

Chandler: All right. All right. I'll sleep with my girlfriend. But I'm just doing it for you guys.

"
274,NA,NA,"[In response to a stupid comment]

Chandler: You have to stop the Q-Tip when there's resistance.

"
275,NA,NA,"Joey: Just because she went to Yale drama, she thinks she's like the greatest actress since, since, sliced bread!

Chandler: Ah, Sliced Bread, a wonderful Lady MacBeth.

Joey: God, I just, I hate her! I hate her! With her, ""Oh, I'm so talented."" and ""Oh, I'm so pretty,"" and ""Ooh, I smell so good.""

Chandler: I think somebody has a crush on somebody.

Joey: Hey, Chandler, can we please stay focused on my problem here? Y'know?

Chandler: I'm talking about you. You big, big freak.

"
276,NA,NA,"Monica: You can't fire me. I make your decisions and I say, ""I'm not fired."" Ha.

"
277,NA,NA,"Monica: My motto is get out before they go down.

Joey: That is so not my motto.

"
278,NA,NA,"Joey: And look. A phone in the bathroom.

Monica: Joey, don't ever call me from that phone.

"
279,NA,NA,"Phoebe: We can be guys. Come on, let us be guys.

Chandler: You don't want to be guys, you'd be all hairy and you wouldn't live as long.

"
280,NA,NA,"Chandler: [dancing and singing] She's on the other line, gonna call me back, she's on the other line, gonna call me back.

Monica: Don't you still have to pee?

Chandler: That's why I'm dancing.

"
281,NA,NA,"[In response to one of Joey's stupid comments]

Chandler: How do you not fall down more often?

"
282,NA,NA,"Chandler: Where is Ross at? Hasn't he checked out yet?

Monica: Are you kidding me? It's not 11:00 yet that means Ross still has 11 mins to check out of the hotel, and Ross has NEVER checked out of a hotel early.

Rachel: Oh yeah that's right. One time Ross and I were at a hotel and we got a late check out... Ross was so happy it was the best sex we ever had!

Phoebe: Ohhhhhhh!

Rachel: That is until he screamed out RADISON at the end.

Phoebe: Yeah that'll kill it.

"
283,NA,NA,"Rachel: Cool. ""Urkel"" in Spanish is ""Urkel.""

"
